beleg,seite,kennzeichen,objektnr,datum,anbieter,kartennr,station,position,km_stand,liter,preis_je_liter,kraftstoff,betrag_eur
46/00133,22,WU 613EV,311395,2025-03-29,DKV,2493594,AMSTETTEN,Tankstellenrabatt,,,,,-0.47
46/00133,22,WU 613EV,311395,2025-03-09,DKV,2493594,ASFINAG,Maut,,,,,4.73
46/00133,22,WU 613EV,311395,2025-03-15,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.5
46/00133,23,KL 76516C,312280,2025-03-07,OMV,2492101,HOF,Kraftstoff,76405,37.84,1.52,Diesel,57.52
46/00133,23,KL 76516C,312280,2025-03-07,OMV,2492101,HOF,Tankstellenrabatt,,,,,-0.98
46/00133,23,KL 76516C,312280,2025-03-13,SHELL,2495185,FELDKIRCHEN,Kraftstoff,76590,45.44,1.42,Diesel,64.52
46/00133,23,KL 76516C,312280,2025-03-13,SHELL,2495185,FELDKIRCHEN,Tankstellenrabatt,,,,,-0.92
46/00133,23,KL 76516C,312280,2025-03-15,SHELL,2495185,WR. NEUDORF,Kraftstoff,76940,45.22,1.67,Diesel,75.52
46/00133,23,KL 76516C,312280,2025-03-15,SHELL,2495185,WR. NEUDORF,Tankstellenrabatt,,,,,-1.0
46/00133,23,KL 76516C,312280,2025-03-18,DKV,2493594,WR. NEUDORF,Kraftstoff,77526,45.41,1.55,Diesel,70.39
46/00133,23,KL 76516C,312280,2025-03-18,DKV,2493594,WR. NEUDORF,Tankstellenrabatt,,,,,-1.17
46/00133,23,KL 76516C,312280,2025-03-20,DKV,2493594,ST. POELTEN,Kraftstoff,77784,17.09,1.62,Diesel,27.69
46/00133,23,KL 76516C,312280,2025-03-20,DKV,2493594,ST. POELTEN,Tankstellenrabatt,,,,,-0.53
46/00133,23,KL 76516C,312280,2025-03-22,DKV,2493594,BRUCK/MUR,Kraftstoff,78662,47.39,1.53,Diesel,72.51
46/00133,23,KL 76516C,312280,2025-03-22,DKV,2493594,BRUCK/MUR,Tankstellenrabatt,,,,,-0.92
46/00133,23,KL 76516C,312280,2025-03-26,OMV,2492101,WR. NEUDORF,Kraftstoff,78823,46.52,1.57,Diesel,73.04
46/00133,23,KL 76516C,312280,2025-03-26,OMV,2492101,WR. NEUDORF,Tankstellenrabatt,,,,,-1.16
46/00133,23,KL 76516C,312280,2025-03-29,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.54
46/00133,23,KL 76516C,312280,2025-03-10,OMV,2492101,HOF,KFZ-Reinigung,,,,,11.46
46/00133,24,L 54887V,326365,2025-03-21,DKV,2493594,ASFINAG,Maut,,,,,8.98
46/00133,25,SL 955AZ,386474,2025-03-22,DKV,2493594,ASFINAG,Maut,,,,,21.01
46/00133,25,SL 955AZ,386474,2025-03-21,OMV,2492101,BRUCK/MUR,KFZ-Reinigung,,,,,8.02
46/00133,25,SL 955AZ,386474,2025-03-11,DKV,2493594,DKV EURO S,E-Ladung Aufschlag,,,,,1.2
46/00133,26,W 764FP,327460,2025-03-14,DKV,2493594,ASFINAG,Maut,,,,,0.41
46/00133,26,W 764FP,327460,2025-03-28,DKV,2493595,DKV EURO S,Bearb.Kosten Tankstelle,,,,,0.52
